GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hibernate,com.karpen.hibernate,Run,17,0,0,0,8,0,3,0,3,0
hibernate,com.karpen.hibernate.repository.impl,HibernateAccountRepoImpl,146,0,20,0,49,0,17,0,7,0
hibernate,com.karpen.hibernate.repository.impl,HibernateDeveloperRepoImpl,122,0,16,0,41,0,14,0,6,0
hibernate,com.karpen.hibernate.repository.impl,HibernateSkillRepoImpl,146,0,20,0,49,0,17,0,7,0
hibernate,com.karpen.hibernate.model,Developer,50,0,0,0,16,0,12,0,12,0
hibernate,com.karpen.hibernate.model,AccountStatus,34,0,0,0,4,0,1,0,1,0
hibernate,com.karpen.hibernate.model,Skill,32,0,0,0,13,0,7,0,7,0
hibernate,com.karpen.hibernate.model,Account,32,0,0,0,12,0,8,0,8,0
hibernate,com.karpen.hibernate.controller,AccountController,51,0,0,0,14,0,5,0,5,0
hibernate,com.karpen.hibernate.controller,SkillController,45,0,0,0,13,0,5,0,5,0
hibernate,com.karpen.hibernate.controller,DeveloperController,122,0,4,0,28,0,7,0,5,0
hibernate,com.karpen.hibernate.view,MenuAccounts,176,0,12,0,67,0,11,0,2,0
hibernate,com.karpen.hibernate.view,MenuDevelopers,239,0,16,0,73,0,12,0,2,0
hibernate,com.karpen.hibernate.view,MenuSkills,155,0,8,0,62,0,8,0,2,0
hibernate,com.karpen.hibernate.view,MainMenu,66,0,7,0,24,0,7,0,2,0
hibernate,com.karpen.hibernate.util,HibernateSessionFactory,18,0,0,0,7,0,3,0,3,0
